,Title,Job Description,Compnay Name,Location,Degree Type,Skills
51,Software Testers/IT Help Desk,"company descriptionour client is a global leader in logistics and transport management. they have adopted the most efficient cargo handling processes, employing cutting-edge technology solutions, to achieve minimal delay in vessel operations, optimal utilization of terminal area, and the fastest delivery of the cargo. they seek passionate and talented software testers/it help desks to join their team.job descriptionsoftware tester duties include:perform activities pertaining to integration and factory acceptance testing including identifying, documenting, and communicating all issues or defects discovered during test case development and executionwork closely with developers and subject matter experts to prepare test cases, test data, determine expected results, and communicate/resolve issues and defects identifiedwork with testing resources and subject matter experts to gain a functional understanding of the application and associated business processesresearch unexpected results to identify root causes and report results accordingly helpdesk lead duties includeassist with system support and troubleshooting of a customs warehouse systeminteract with customers via phone and email in a professional mannerquickly and accurately document caller's contact information, site, key data, and nature of the problem in the ticketing systemrespond to tickets and answer calls within the contractually defined timeframesserve as the customer liaison and address any issues or concernsraise any concerns to manager that cannot be resolved in a timely manner qualifications2 to 3 years of customer contact experience and/or software testingexperience with automated testingpersistence at digging into complex issues with imperfect informationbackground in software testing, debug and research/investigation of software issuesability to read software requirements and create written test plansexcellent written and verbal skillsworks with microsoft office applications and/or google docs suiteknowledge of source control workflow (git)database experience (postgresql, db2, and redis)desire to share learnings in team training sessions and mentor other team membersbackground in supply chain execution (sce) systems (warehousing, transportation, manufacturing, etc.)committed, reliable, organized team player with effective time management and prioritization skillsexcellent interpersonal skills-able to communicate effectively with employees and executives; high degree of patience with people and processes.enjoy solving challenging problemsself-driven to continue learning new concepts, software systems, tools, and technologycontribute to documentation to improve team knowledge of new and existing software features and test methodologieswork independently with minimal supervisionenjoys exploratory testing and learningadditional informationremuneration is competitive along with other benefitsthe deadline for submission is november 30, 2021. interviews are on a rolling basis to this date. only shortlisted candidates will be contacted.further assessments will be required.",Myrtle Management Consultants,Lagos,"ma, ond, mpa, ma, nce","DevOps and Agile methodology, Rational analysis and Logical thinking, Testing tools and techniques, Common programming language, Software development life cycle."
53,DIGITAL MARKETING EXECUTIVE,"ibis is an international hotel company owned by accorhotels, a hotel holding company. accorhotels is listed on the paris stock exchange and was founded in 1967. ibis opened its first hotel in 1974. the hotels are generally close to city centres, airports, beaches or railway stations.we are recruiting to fill the position belowjob title: digital marketing executiveresponsibilitiesdevising strategies to drive online traffic to the company website.tracking conversion rates and making improvements to the website.developing and managing digital marketing campaignsutilising a range of techniques including paid search, seo and ppc.overseeing the social media strategy for the company.managing online brand and product campaigns to raise brand awareness.managing the redesign of the company website.improving the usability, design, content and conversion of the company websiteresponsibility for planning and budgetary control of all digital marketingevaluating customer research, market conditions and competitor data.review new technologies and keep the company at the forefront of developments in digital marketing.requirementsbachelor’s degreeminimum of 3 years’ experience in digital marketingexperience managing ppc, seo and affiliate programmesstrong understanding of current online marketing concepts, strategy and best practice.experience in ecommerce, seo, ppc, email marketing, and social media.previous experience in a similar digital marketing role in a luxury hotel.graphic design skills: adobe creative suiteweb design skills will an added advantage.benefitsattractive salary: our goal is to acknowledge our employees' skills and performance, while at the same time respecting the principles of fairness and non-discrimination.regular support: meeting in a calm setting, conducting an appraisal, and setting targets is a valuable process, both for managers and employees. several meetings or discussions are held throughout the year to facilitate dialogue and motivate teams.wellness for all: with operations over 63 countries, we strive to ensure the well-being, health, and safety of all our teams. accor is extremely attentive to its employees and their loved ones.",IBIS,Lagos,"ma, bachelor, ond, mpa, nce","Wordpress, Google Ads, SEO Blogging, Keyword research, Data analysis"
54,Executive Assistant,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionfadac resources and services – our client is a large consumer durable distribution conglomerate with more than 3000+ trade partners across the country. her business model goes beyond fulfillment to provide our customers and suppliers a unique combination of operational excellence and service efficiency.due to expansion, they are recruiting to fill the position below:job title: executive assistantlocation: lagosemployment type: full-timejob responsibilitiesact as the point of contact among executives, employees, clients and other external partnersmanage information flow in a timely and accurate mannerprovide a bridge for smooth communication between the president’s office and internal departments; demonstrating leadership to maintain credibility, trust and support with senior management staffmanage executives’ calendars and set up meetingsformat information for internal and external communication – memos, emails, presentations, reportsresearch, prioritize, and follow up on incoming issues and concerns addressed to the md, including those of a sensitive or confidential nature. determine appropriate course of action, referral, or responsework closely and effectively with the ceo to keep him/her well informed of upcoming commitments and responsibilities, following up appropriatelysuccessfully complete critical aspects of deliverables with a hands-on approach, including drafting acknowledgement letters, personal correspondence, and other tasks that facilitate the md’s ability to effectively lead the companyjob requirementsminimum of 3 years’ experience as an executive assistant, personal assistant or similar roleminimum of b.sc / b.a.excellent ms office knowledge.outstanding organizational and time management skills.ability to perform and prioritize multiple tasks seamlessly with excellent attention to detail.familiarity with office gadgets and applications.excellent verbal and written communications skills.problem-solving and decision making.proactivity and self-direction.excellent interpersonal skills.discretion and confidentiality.application closing date31st august, 2021.don't keep! kindly share:",Fadac Resources and Services,Lagos,"ma, b.sc, ond, mpa, n cre, ma, nce","Email management, Collaboration tools(Slack, Gsuite), Information management, Microsoft office tools, Correspondence"
55,Admin Lead,"job purposeto oversee and support all administrative duties in the office and ensure that office is operating smoothly.responsibilities oversee and support all administrative duties in the office and ensure that office is operating smoothly. ensure that our office is compliant with workplace safety policies managing office supplies as well as restocking, distributing, and storing correspondence book meeting rooms, schedule meetings and appointments as required managing and coordinating all travel arrangements for staff including travel documents, transportation, booking hotels, etc  ensure visitors have a seamless experience regarding needed resources, transportation, accommodation, feeding, etc. manage vendor sourcing and onboarding effective planning, organizing and coordination of organizational events and activities. coordinating drivers and official vehicles ensure proper fueling and maintenance of all official vehicles perform any other duties as assignedrequirementshnd/b.sc. in social sciences or any related fieldexcellent organization, time management, interpersonal and communication skillsability to adapt to a fast-paced work environment3 – 4 years’ experience in a similar roleworking knowledge of ms office suite",M-KOPA,Lagos,"ma, hnd, b.sc, ond, ma, nce","Microsoft office tools, Quickbooks and Xero, Editing and proofreading, Database management, Adobe Illustrator."
56,Communications Officer,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionunited nations international children’s emergency fund (unicef) works in some of the world’s toughest places, to reach the world’s most disadvantaged children. to save their lives. to defend their rights. to help them fulfill their potential. across 190 countries and territories, we work for every child, everywhere, every day, to build a better world for everyone.we are recruiting to fill the position belowjob title: communications officer (nob), ftjob no: 537393location: abuja, nigeriacontract type: fixed term appointmentlevel: no-2categories: communication / external relations, no-2for every child, an advocatein nigeria, unicef works in a complex humanitarian and development setting to fulfill and protect children’s rights in partnership with government, civil society, children and families. unicef nigeria is one of the largest unicef country offices globally – click the link to learn more about unicef in nigeria: https://www.unicef.org/nigeria/.we are looking for a communication officer, to become part of a highly motivated and committed team of over 400 staff who work to bring visible changes in the lives of the most disadvantaged children in nigeria.how can you make a difference?under the supervision and guidance of the chief of communication, you will assist in the planning, implementing, monitoring and evaluating an advocacy and communication strategy to get children’s and women’s issues into the public domain, especially through social media, strengthen political will in support of unicef’s mission and objectives in the country, and enhance the organization’s credibility and brand.communication materialskey responsibilitiesensure that the production of communication products and materials is timely executed and followed up to support country communication strategy, regional and global campaigns and priorities and to support resource mobilization as set out in the work plan.implement the tasks in the country communication work plan and strategy as assigned.gather content and coverage of relevant country efforts to identify effective relevant country programme activities and results. develop complementary, country specific and local community materials and activities.produce advocacy and communication materials (e.g. briefing notes, images, video. web pages etc.) that meet the country and global standards as set out in the communication toolkit.assist in drafting and editing articles, press releases, human interest stories and other advocacy / information materials for both web-based and traditional media, as appropriate.follow up on the production of advocacy and communication materials (e.g., films, videos, audio-visuals, etc.), and oversee the qualitative aspects of production, (e.g., quality control, translations, reviews of layout and graphic design etc.) to meet standards as set out in the communication toolkit.establish or maintain an up-to-date documentation centre for communication materials including publications, press releases and clippings, photographs, audio-visual materials, web resources etc.recommend appropriate information and communication materials for use in media, and other advocacy and communication activities; recommend the appropriateness, quality and dissemination of printed and audio-visual materials.recommend established contacts, networks, resources and processes to support communication activities.media relationseffective and timely professional assistance and support are provided in developing, drafting and maintaining contact information, materials and relationships with journalists and media outlets covering all media – print, tv, radio, web etc. – in the country, to communicate the story of unicef’s cooperation to a wider audience.maintain and update media relations contact list/database. ensure rapid and accurate information dissemination to the media.assist in developing and maintaining close collaboration with mass media, as well as with groups and organizations whose support is essential to the achievement of advocacy and communication objectives.assist in drafting and editing articles, press releases, human interest stories and other advocacy/information materials in all media formats, as appropriate.prepare background communication and promotional materials for briefing and visits of media and other special interest groups. assist in the planning, logistic and administrative arrangements for them.assist in collaborating with the media through activities such as organizing project site visits, facilitating photo coverage and tv footage and utilizing both web-based and traditional media as appropriate.monitor and evaluate the use and effectiveness of media materials. maintain a library of coverage (clippings, coverage etc.).monitoring and evaluationregular monitoring and evaluation activities are undertaken according to the work plan to ensure maximum impact and continuous improvement of country communication efforts. ensure results and reports are prepared and shared on a timely basis.contribute to developing an advocacy and communication strategy by coordinating appropriate audience research and compiling and analysing relevant data.monitor and evaluate the appropriate and timely dissemination of advocacy and communication materials to target audiences, and participate in the evaluation of their impact. monitor and evaluate the use and effectiveness of media materials. maintain a library of coverage (clippings, coverage etc.)monitor the public perception of unicef in the country and recommend appropriate action to maintain a positive image for the organization. assist in providing feedback to doc on the use and appropriateness of global communication materials such as publications, images and multimedia products.ensure good quality data collection, analysis and evaluation and reporting to ensure effective communication strategies, planning and effective and efficient advocacy.undertake lessons learned review of successful and unsuccessful communication experiences as directed by supervisor.celebrities, partners and special eventsensure that the country office’s contact list of individuals, groups, organizations and fora (including government, un, and bilateral counterparts), are maintained and further developed, whose support is essential to / can assist in achieving the advocacy and communication objectives and who support and are able to actively participate in special events and activities that further the country programme goals.help organize and generate public support for special events and activities to promote country programme goals.assist in developing and maintaining close collaboration with mass media, as well as with groups and organizations whose support is essential to the achievement of advocacy and communication objectives.maintain and update celebrity and partner contact lists/database for country office.monitor / document process and effectiveness of working with these individuals/organizations.prepare background communication and promotional materials for briefings and visits of media, goodwill ambassadors, donors, national committee representatives and other special interest groups. the task includes preparing information materials (e.g., press releases, programme summaries, country fact sheets and media kits), and assisting in the planning, logistics and administrative arrangements.requirementsto qualify as an advocate for every child you will have:a university degree in communications, journalism, public relations or a related field.two years work experience in communication, print and broadcast media, or interactive digital media.field work experience is required. background/familiarity with emergency situations is considered an asset.fluency in english is required. knowledge of another official un language or local language of the duty station is considered as an asset.working knowledge social media platforms, including twitter, facebook, instagram, snapchat, and social media presence monitoring tools.for every child, you demonstrateunicef’s values of care, respect, integrity, trust, and accountability (crita) and core competencies in communication, working with people and drive for results.core competenciesdemonstrates self awareness and ethical awareness (ii)works collaboratively with others (ii)builds and maintains partnerships (ii)innovates and embraces change (ii)thinks and acts strategically (ii)drives to achieve impactful results (ii)manages ambiguity and complexity (ii).functional competencies (required) persuading and influencing (i) applying technical expertise (i) learning and researching (ii).view our competency framework athttp://www.unicef.org/about/employ/files/unicef_competencies.pdfapplication closing date22nd march, 2021.don't keep! kindly share:",United Nations International Children’s Emergency Fund (UNICEF),Abuja,"ma, mba, m.a, mma, mpa, ma, nce","Computer Aid Dispatch (CAD), Dispatch systems, Customer Relationship Management software, ability to delegate tasks"
57,Procurement/Purchasing Officer,"ibis hotel -""some say you can't put a price on comfort."" ibis hotels prove the contrary by offering their guests well-being at the best price. fully-equipped rooms, innovative bedding and 24-hour reception services. welcome to the world’s leading economy hotel brand.ibis is a brand of economy hotels focused on evolutive design with simple and flexible furniture and owned by accor. created in 1974, ibis became accor's economy megabrand in 2011 with the launch of ibis styles and ibis budget. ibis manages 1174 hotels in 67 countries (2018)we are recruiting to fill the position below;job title: purchasing/procurement officeroverview of dutiesto assist in effectively managing all stores, ensuring inventory supplies are sufficient to meet the hotel operational requirements and that all transactions are accurately recorded on a timely basis.main responsibilities assist with re-ordering & receiving:conduct a periodic review of stock levels and initiate purchase requisitions following departmental policies and procedures.maintain par level; re-order level, maximum and minimum stock level of all items.maintain proper supplies in keg rooms (gas, post mix etc) at all times including maintenance of beer lines.adhere to purchasing procedures as detailed in the department’s policies and procedures manual.all goods are correctly received and accounted for in accordance with the quantity and quality stated in the purchase orders; and properly stored on fifo basis.responsible for the prompt distribution of goods to sub-stores or user departments.all goods returned to suppliers are properly authorised and accounted for. ensure correct documentation is completed for all goods entering and leaving the stores. all stores’ movements are accurately recorded through the inventory system on a daily basis. monitor expiry dates for products in stores. all expired items in store should either be returned to the supplier or destroyed. responsible for the cleanliness, hygiene schedule and neat arrangement of stores and proper storage of goods. responsible for the maintenance and security of all storage areas to prevent losses through environmental damage and pilfering.conduct random inventory of certain fast moving/ high value items in main store once a week.assist in coordinating the monthly stock take with appropriate department managers. qualifications & requirementsproven work experience as a purchasing/procurement officer or similar role in a luxury hotelgood knowledge of vendor sourcing practices (researching, evaluating, and liaising with vendors)hands-on experience with purchasing software (e.g. procurify or spendmap)understanding of supply chain proceduressolid analytical skills, with the ability to create financial reports and conduct cost analysesnegotiation skillsbenefitsattractive salary: our goal is to acknowledge our employees' skills and performance, while at the same time respecting the principles of fairness and non-discrimination.regular support: meeting in a calm setting, conducting an appraisal, and setting targets is a valuable process, both for managers and employees. several meetings or discussions are held throughout the year to facilitate dialogue and motivate teams.wellness for all: with operations over 63 countries, we strive to ensure the well-being, health, and safety of all our teams. accor is extremely attentive to its employees and their loved ones.",IBIS,Lagos,"ond, ma, ma, nce"," Risk management software, Report generators, Contract lifecycle management platforms, Analyse Key Performance Indicators(KPIs), Proficiency in Microsoft Office and purchasing software"
84,Cashier,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionfadac resources and services – our client, a large consumer durable / electronics distribution arm of a manufacturing conglomerate with more than 3000+ trade partners across the country, is recruitng to fill the position belowjob title: cashierlocation: ikotun, lagosemployment type: full-timejob responsibilitiesprocess sales transactions.calculate the cost of products or services and accept payments.answer customer questions about products or services.reconcile cash drawers and sales receipts.accountability and accuracy in reconciling sales receipts.deal with returns and refunds as necessary.answer customer questions as they ariseknowledge of point-of-sale systems job requirementsminimum of hndat least 1 year experience as a cashier.ability to add, subtract, multiply, and divide easily and quickly.proficient cashier and clerical skills.excellent communication skillsability to work in a fast-paced, stressful environments.comfortable with cash handling.strong customer service skills.attention to details.application closing date31st august, 2021.don't keep! kindly share:",Fadac Resources and Services,Lagos,"mpa, ma, hnd, nce","Point Of Sale(POS) Systems, Multitasking, Basic Maths skills, Efficiency, Product Knowledge"
89,Communication for Development Specialist,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionunited nations international children’s emergency fund (unicef) works in some of the world’s toughest places, to reach the world’s most disadvantaged children. to save their lives. to defend their rights. to help them fulfill their potential. across 190 countries and territories, we work for every child, everywhere, every day, to build a better world for everyone.we are recruiting to fill the vacant position belowjob title: communication for development specialist – nericcjob number: 545838location: abujacontract type: temporary appointmentlevel: p-3categories: nutritionhow can you make a difference?the communications for development specialist reports to the c4d teamlead for general guidance and supervision with additional guidance provided by the c4d manager in charge of immunization.the specialist provides technical and operational support in the development of a systematic, planned and evidence-based strategy and process for c4d as an integral part of program development, planning and implementation to promote measurable behavioral and social change / mobilization through communication, engagement, empowerment and participation of stakeholders, partners constituents, communities and civil society to achieve successful and sustainable concrete (program/project) results on children’s rights, survival and well-being in the country.further, and in close coordination with the partners in immunization activities, the incumbent will drive progress in national emergency routine immunization coordination centre (nericc) and national emergency for maternal child health intervention centre (nemchic) activities in national office based in abuja and in all field offices in nigeria, to achieve successful social mobilization that will result in increased uptake for routine immunization and other child survival and development initiatives.incumbent is also responsible for actively supporting the national social mobilization initiatives and to support advocacy, communication and social mobilization working group at national primary health care development agency (nphcda).organizational context and purpose for the jobunder the general guidance of the c4d chief, the incumbent is responsible for the coordination of communication working group to accelerate demand generation approaches and strategies at nericc and nemchic spearheaded by the national primary health care development agency (nphcda) to promote awareness, understanding, support and social mobilization plans that support advocacy and community engagement as well as community empowerment and behaviour change as key components of the country programmes in nigeria in line with the rolling work plan with the federal ministry of health and nphcda.strategic direction & coordinationmain responsibilities and taskssupport nericc and nemchic to determine strategic directions for communication for development (advocacy, social mobilization, community engagement and behaviour change technical working groups) team and ensure the strategies are in line with nigeria country programme document (cpd) as well as the rolling work plan (rwp) to achieve routine immunization coverage targeted in nsips as well as contribute to improvement of csd indices.make viable recommendations and decisions on appropriate communication for development strategies to achieve the nericc’s and nemchic’s goals and objectives, and to support unicef’s mission in the country.coordinate different fora mainly gavi subgroups for demand generation, bmgf mou states community engagement working groups and csm communication groups.to provide expert advice and assistance to the nericc and nemchic team by attending several task teams including core group on attitude and behaviour change modalities that contribute to changing mindsets and are culturally sensitive and tailored to generate demand for routine immunization (ri) services and maternal and child health (mch) development.demand generationensure that nericc and nemchic task groups are supported to develop plans and activities to increase demand for ri and mch servicesdevelop, maintain and update the c4d strategy for nericc and nemchic with approaches, plans and activities geared towards increasing demand for ri and other primary health care (phc) services.the strategy should be founded on sound evidence based on studies with clear objectives, approaches, plans, activities, as well as monitoring and evaluation mechanisms.ensure approaches used is all inclusive, consultative and participatory to carry along all stakeholders.to support covid-19 vaccination activities to improve demand through advocacy, social mobilization and community engagement initiatives.promotion of appropriate use of communication for social developmentprovide advice on appropriate use of communication and approach for social development, aimed at both individual behaviour change and collective action as well as policy advice.provide expert advice, coordination and technical support to government counterparts and other partners in the development and strategic use of communication for social development to ensure optimum leverage and impact of communication activities on programme, policy and advocacy activities.collaborate with the federal government officials, nphcda, community leaders, other un bodies, and bilateral agencies and ngos in the organization of activities, operational research, advocacy and exchange of information and ideas supportive of nericc’s and nemchic’s communication goals and strategies.jointly with other unicef and government officers, designs and manages/facilitates the implementation of communication plans of action aiming at: (a) behaviour development/change at individual/household levels; (b) social mobilization of civil society organizations; (c) increased community participation in ri and phc; and (d) policy issues that require advocacy to impact ri and phc uptake.support state teams to design and implement strategies for hard to reach, nomadic and minority groups at the lga and ward levels, informed by the equity analysis and aligned with coverage and equity plans.monitors and evaluates activities on the basis of applied targeted communication research and frequent visits to project sites. disseminates communication research findings, ensures exchanges of experience and new methods to government officials, programme staff, and other unicef partners.collaborate with, advise and/or consult internal partners, to design of culturally relevant c4d strategies, including formulation, production and pre-testing materials and/or to organize c4d events and activities to ensure engagement and participation of key audiences, and maximum outreach and impact on behavioral and social change.confirm/verify the technical quality, consistency and relevancy of communications strategies, including materials that are developed, produced and disseminated to target audience and recommend appropriate multiple media formats. oversee the production and implementation of multi-media initiatives for compliance with targets and plans that integrate the latest evidence.carry out c4d advocacy activities with/for a wide range of constituents, stakeholders, partners, communities, such as religious groups, traditional leaders, teachers, artists and other organised groups at national, state, zonal, local government areas (lga) and community levels, as well as civil society organizations etc. to orient them on behavior and social mobilization models, strategies, approaches, routine immunization as well as mnch+n; and solicit their involvement in the implementation of the overall initiative; also to encourage / promote engagement and dialogue, inclusion, self-determination and participation in mobilizing social, political, behavioral and cultural change to achieve sustainable program results for polio eradication, improved routine immunization, and children and women’s rights, equity and well-being.develop/select materials and other communication tools for c4d events.identify, establish and maintain active interaction/relations with media, academia and other strategic partners to communicate/advocate unicef’s competencies and achievements to ensure their engagement, interests and support in promoting social / political engagement for political action on polio eradication, and measurable changes in social and behavioral outcomes.conduct and/or participate in m & e (monitoring and evaluation) and evaluation exercises, including country program previews, meetings and mid-term/annual reviews to assess / report on efficacy / outcome of c4d on unicef and nigeria country office (nco) strategic plans/goals. recommend timely action to ensure the achievement of results as planned and allocated. integrate/disseminate lessons learned in development planning and improvements.monitor and evaluate programme activities on the basis of applied qualitative behavioral research and frequent visits to project sites.analyse and evaluate data to ensure compliance and achievement of objectives and recommend corrective action, when necessary, to meet programme/project objectives. prepare monitoring and evaluation reports in accordance with the established guidelines, methods and procedures.provide technical advice to programme staff, government officials and other counterparts, and coordinate and manage the evaluative elements of country programme milestone meetings, such as mid-term reviews, strategy meetings, previews and reviews and annual reviews.capacity building for sustainabilityprovide advice on capacity building of communication for development teams, both within nphcda and among counterparts.oversee and advise on the development of goals, strategy, approaches, plans as well as training materials and activities to build up capacity in participatory and behaviour change communication for personnel involved in the planning, implementation and evaluation of communication for development intervention, in support of covid-19 vaccine, ri and phc.resource mobilization and managementparticipate in the budget planning & review process, and ensure the optimal resources from unicef and other partners towards c4d initiatives to support nericcestablish programme work plans, allocation of resources, and monitors progress and compliance.take appropriate actions to optimize use of programme funds and mobilize resources; improve programme efficiency, quality and delivery through a rigorous and transparent approach to programme planning, monitoring and evaluation.oversee the overall allocation and disbursement of programme funds, making sure that funds are properly and effectively coordinated, monitored and liquidated.educationrequirementsadvanced university degree in the social / behavioural sciences, (sociology, anthropology, psychology, and health education) or bachelor’s with over 8 years of work experience with emphasis on strategic communication planning for behaviour development, social mobilization, and participatory communication, and research, training / facilitation and impact evaluation of communication interventions.training in communication for development and implementation in communication for development, social mobilization and behavioral change. training in inter-disciplinary approach in programme communication.experienceminimum 5 years (8 year for candidate with bachelors) relevant professional work experience in the planning and management of social development programmes, including 2 years in with practical experience in the adaptation and application of communication planning processes to specific programmes.language requirementsfluency in english and another un language. local working language of the duty station an asset.for every child, you demonstratecompetencies and level of proficiency required (please base on unicef competency profiles)unicef’s core values of care, respect, integrity, trust and accountability (crita)core competenciesnurtures, leads and manages people (3)demonstrates self awareness and ethical awareness (3)works collaboratively with others (3)builds and maintains partnerships (3)innovates and embraces change (3)thinks and acts strategically (3)drives to achieve impactful results (3)manages ambiguity and complexity (3).application closing date14th november, 2021.don't keep! kindly share:",United Nations International Children’s Emergency Fund (UNICEF),Abuja,"ma, bachelor, mea, ond, mia, m/a, mpa, bachelors, ma, nce"," Computer Aid Dispatch (CAD), Dispatch systems, Customer Relationship Management software, ability to delegate tasks"
94,Food & Beverage Manager,"are you a passionate foodie who is not afraid of thinking outside the box? then, we have the job for you! as a food & beverage manager, you will strategically lead the team to take guest satisfaction to the next level.what is in it for youemployee benefit card offering discounted rates in accor worldwidelearning programs through our academies and the opportunity to earn qualifications while you workopportunity to develop your talent and grow within your property and across the world!ability to make a difference in the local community through our corporate social responsibility activities, like planet 21what you will be doing: lead, mentor and train the food & beverage operations team ensure food & beverage relevant brand standards are maintainedstrategize on new products and service offerings create unforgettable experiences for our guestsyour experience and skills include:service focused personality is essential and previous leadership experience requiredproven ability to build and maintain good relationships with all stakeholderscommunicate thoughts, actions and opportunities clearly with strong networking skillsability to lead by example, believe in a strong team culture and set the scene for high performance our commitment to diversity & inclusion: we are an inclusive company and our ambition is to attract, recruit and promote diverse talent. why work for accor? we are far more than a worldwide leader. we welcome you as you are and you can find a job and brand that matches your personality. we support you to grow and learn every day, making sure that work brings purpose to your life, so that during your journey with us, you can continue to explore accor’s limitless possibilities. by joining accor, every chapter of your story is yours to write and together we can imagine tomorrow's hospitality. discover the life that awaits you at accor, visit https://careers.accor.com/do what you love, care for the world, dare to challenge the status quo! #belimitless",IBIS,Lagos,"ma, mpa, nce","Culinary arts, Chef skills, Leadership skills, Bartending, Vendor management"
95,Medical Laboratory Scientist (Entry-level) at Arkounting Business Concepts Limited,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionarkounting business concepts limited – our client, a medical diagnostics company located in surulere and ikoyi, lagos state, is recruiting to fill the position belowjob title: medical laboratory scientist (entry-level)location: lagosemployment type: full-timejob descriptionthe role holder is expected to perform pre-analytical, analytical and post-analytical procedures and analyses to provide data for health maintenance, diagnoses, treatment and monitoring of medical conditions. responsibilitiescorrectly verify that the proper specimen is being analyzed for the correct patients and that the correct test is being performed.judge the adequacy and qualities to ensure accuracy of specimens submitted for testinganalyze clinical laboratory specimens following the standard methods and procedures approved by the laboratory managerconfirm testing on all critical values to ensure accuracy prior to releasing of test resultsrelease or report results per laboratory standard operating proceduresvalidate test reference ranges through correlation with test parameters to determine the reasonableness of test results (e.g. hgb/hct, anion gap, platelet count/smear, dipstick/micro etc.)perform and document instrument function by checking and calibrating specific lab instruments and documents data.perform other related duties as necessary. qualifications and skillsbachelor’s degree in medical laboratory science0-3 years of current experience in a clinical laboratory or in related field required.specimen processingquality service managementknowledge of laboratorymeasurement terminologyknowledge of storage of reagents and chemicals within the laboratorylaboratory technology / equipment managementweekend work required.application closing date15th november, 2021.don't keep! kindly share:",Arkounting Business Concepts Limited,Lagos,"ma, bachelor, mea, ond, mpa, ma, nce","Diagnostic tests, Effective use of lab equipment, Quality control, Specimen collection, Urinalysis"
96,Agricultural Process Leader,"área de atuaçãodiversoslocalizaçãodelta-mgatribuiçõesempresa de sucroenergia contrata para cargo de líder de processo agrícola em delta (centro) para atuar em tempo integral, comercial.gestão de equipe do cultivo. responsável pela gestão das frentes de adubação com foco em qualidade, segurança e rendimento.é oferecido contrato efetivo,beneficios a combinar /vaga códrequisitos:técnico completoescolaridade mínima exigidasem informação",Expresso Vagas,Delta,"ma, mga","Mechanical and repairing, Problem solving, Tech Savvy, Dexterity, Adaptability."
103,Office Secretary,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptioninspire polytechnic has been established with a vision to transform lives of youngsters in nigeria and the first center has been opened at yaba, lagos. inspire polytechnic is promoted by an international corporate group headquartered in uk.we are recruiting to fill the position belowjob title: office secretarylocation: lagosemployment type: full-timequalificationscandidate must have b.sc / hnd / ond / pgd holders in secretarial administration.minimum of 2 years experience.salaryn50,000 – n100,000 / month.application closing date7th november, 2021.don't keep! kindly share:",Inspire Polytechnic,Lagos,"hnd, b.sc, ond, mpa, pgd, nce","Microsoft Word, Excel, Outlook, Powerpoint, SharePoint, Database management, Quickbooks and Xero."
105,Human Resources Generalist at Scib Nigeria & Co. Limited,"never miss a job update again. company: location: nigeriastate: job type: full-time job category:  job descriptionscib nigeria & co. limited is a reputable insurance broking firm with international affiliation, we are one of the top 3 brokers amongst over 500 registered insurance brokers in nigeria offering insurance & reinsurance broking and risk management with branches located in surulere, yaba, abuja, port harcourt and kaduna.we are recruiting to fill the position belowjob title: human resources generalistlocation: surulere, lagosemployment type: full-timeoverviewwe are currently looking for a human resources generalist with strong competency in talent acquisition and hr analytics. requirementsminimum of b.sc in any related field3-5 years relevant experience as a hr generalistcipm is required.salaryn300,000 monthly (gross).application closing date30th november, 2021.don't keep! kindly share:",Scib Nigeria & Co. Limited,Lagos,"mpa, ma, b.sc, nce","HR Information Software, Performance management, Analytics, Future planning, Multitasking"
106,Human Resources Intern,"we are recruiting to fill the position belowjob title: hr intern (nysc or fresh graduate)location: lekki, lagosemployment type: nysc/fresh graduatejob description•	we are looking for nysc corp members or fresh graduate with a passion for the field of human resources management and strong academic achievements relevant to the field.•	the human resources intern will support the human resources team. s/he must be detail-oriented and meticulous in approach to tasks.•	s/he will learn and ensure our hr department remains organized and operates smoothly to attract, hire and retain the best employees.qualifications•	a degree in human resources, industrial relations & personnel management, business administration, psychology or a closely related field is required.skills•	excellent organizational & time-management skills•	administrative skills•	proficient use of excel and good knowledge of microsoft packages.•	strong communication skills & interpersonal skills•	basic knowledge of labor legislation•	reporting skills.•	efficient use of google drive and hris is an added advantage.",Precise Lighting Limited,Lagos,ma,"Business management, Finance, Legal knowledge, Tech savvy, Analytics"
